0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
"Hello #NFT Frens
Please be encouraged to help push $ETH 📈
To the moon again!! https://t.co/pC6AdsOUQd","Hello #NFT Frens
Please be encouraged to help push $ETH 📈
To the moon again!! https://t.co/pC6AdsOUQd",0.0,0.0,positive,0.0,0.597,0.403,0.7955
Hello UPM peeps!! Can you spare some time to answer this questionnaire for my fyp? It'll probably gonna take around… https://t.co/cPg67qBvbw,Hello UPM peeps!! Can you spare some time to answer this questionnaire for my fyp? It'll probably gonna take around… https://t.co/cPg67qBvbw,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@babeesoul Hello( ´ ∀ `)ノ～ ♡ I find your paintings very beautiful and I love them very much. So can I repost your p… https://t.co/mJgvdWw0h3,@babeesoul Hello( ´ ∀ `)ノ～ ♡ I find your paintings very beautiful and I love them very much. So can I repost your p… https://t.co/mJgvdWw0h3,0.5866666666666667,0.62,positive,0.0,0.663,0.337,0.8643
oh wow HELLO?!???! this is so cool,oh wow HELLO?!???! this is so cool,0.253125,0.825,positive,0.0,0.375,0.625,0.8532
@ningssootxt hello lets be priv moots if comfy kaaaaa &lt;3,@ningssootxt hello lets be priv moots if comfy kaaaaa &lt;3,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@BTSb_agustd Hello and good night 😴 🥱 🌃,@BTSb_agustd Hello and good night 😴 🥱 🌃,0.7,0.6000000000000001,positive,0.0,0.58,0.42,0.4404
@AFCWimbledon Hello @AFCWimbledon - my son has turned up for the volunteer Work Weekend today and ground is closed.… https://t.co/SCCO4ef47k,@AFCWimbledon Hello @AFCWimbledon - my son has turned up for the volunteer Work Weekend today and ground is closed.… https://t.co/SCCO4ef47k,0.0,0.0,neutral,0.0,1.0,0.0,0.0
EWAN HELLO?????? https://t.co/LtRIK0NSHK,EWAN HELLO?????? https://t.co/LtRIK0NSHK,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@marika_clapotis やっと見られて嬉しい🥰,@marika_clapotis やっと見られて嬉しい🥰,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"wts พร้อมส่ง ไม่มีตำหนิ 
เเจมิน sgs hello future 
1,700 shipping 35
wts popsocket sgs hello future jaemin poca jaem… https://t.co/hWCJRfjGXa","wts พร้อมส่ง ไม่มีตำหนิ 
เเจมิน sgs hello future 
1,700 shipping 35
wts popsocket sgs hello future jaemin poca jaem… https://t.co/hWCJRfjGXa",0.0,0.125,neutral,0.0,1.0,0.0,0.0
"@Yosh541 hello, cdm po :)","@Yosh541 hello, cdm po :)",0.5,1.0,negative,0.375,0.312,0.312,-0.1531
"Hello! Sa mga nakakuha na nung SSA book nila, kahit gaano ka kapal yan wag nyo pong ihahampas sa mga nang aaway kay… https://t.co/UpLJA2wMyv","Hello! Sa mga nakakuha na nung SSA book nila, kahit gaano ka kapal yan wag nyo pong ihahampas sa mga nang aaway kay… https://t.co/UpLJA2wMyv",0.0,0.0,negative,0.061,0.939,0.0,-0.126
"hello! (っ.❛ ᴗ ❛.)っ 🛒

🌻 proofs: #from0628
🌻 happy mails: #0628happymails
🌻 bentables: #0628sells
🌻 carrd:… https://t.co/LzuPeb8g0Z","hello! (っ.❛ ᴗ ❛.)っ 🛒

🌻 proofs: #from0628
🌻 happy mails: #0628happymails
🌻 bentables: #0628sells
🌻 carrd:… https://t.co/LzuPeb8g0Z",0.8,1.0,positive,0.0,0.734,0.266,0.6114
@MukisaTadeus Hello Tadeus. How may we assist you?,@MukisaTadeus Hello Tadeus. How may we assist you?,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@wembleystadium Hello! I have only just seen about the medical exemption for the bags and I would just like to know… https://t.co/qz6BJJbuQR,@wembleystadium Hello! I have only just seen about the medical exemption for the bags and I would just like to know… https://t.co/qz6BJJbuQR,0.0,0.5,positive,0.0,0.872,0.128,0.4199
YOU could be my newest subscriber at https://t.co/okt7KouxNT! I'm waiting to say hello. https://t.co/VctUEqshVa,YOU could be my newest subscriber at https://t.co/okt7KouxNT! I'm waiting to say hello. https://t.co/VctUEqshVa,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"Hello @Wild949 San Fran hoping to hear #Run_BTS @BTS_twt on your station today
Thank you very much for spreading the "" RUN BTS ""🙏🌹","Hello @Wild949 San Fran hoping to hear #Run_BTS @BTS_twt on your station today
Thank you very much for spreading the "" RUN BTS ""🙏🌹",0.26,0.26,positive,0.0,0.798,0.202,0.6486
@Villapiano41 Hello! https://t.co/nYd93ILUhY,@Villapiano41 Hello! https://t.co/nYd93ILUhY,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@milicavotera_ @selvibess Hello,@milicavotera_ @selvibess Hello,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@waferthings 😭😭😭 like when did saying hello become flirting,@waferthings 😭😭😭 like when did saying hello become flirting,0.0,0.0,positive,0.0,0.619,0.381,0.5106
@Hello_Mel5dy 그새끼가 저정도했으면 약 얘기 안나옴ㅋㅋㅋ,@Hello_Mel5dy 그새끼가 저정도했으면 약 얘기 안나옴ㅋㅋㅋ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
hello mis https://t.co/P5V1lyg3Yd,hello mis https://t.co/P5V1lyg3Yd,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"Rubble: OH Mann I,m Very Hungry😅... *Remembers The Camera* OH!.. EHM Hello I Wish You All A Good Hungry Morning😂👋🏻… https://t.co/gRA8UVaMqK","Rubble: OH Mann I,m Very Hungry😅... *Remembers The Camera* OH!.. EHM Hello I Wish You All A Good Hungry Morning😂👋🏻… https://t.co/gRA8UVaMqK",0.475,0.45000000000000007,positive,0.0,0.743,0.257,0.7088
"@FiSurgi Cardano uses haskell for smart contracts. Install haskelled on my computer, it took 300mb to run hello wor… https://t.co/4Xnl8y4ruL","@FiSurgi Cardano uses haskell for smart contracts. Install haskelled on my computer, it took 300mb to run hello wor… https://t.co/4Xnl8y4ruL",0.21428571428571427,0.6428571428571429,positive,0.0,0.876,0.124,0.4019
"Hello @965TDY 
hoping to hear #Run_BTS
 @BTS_twt  on your station today! many thanks in advanc 💜🌹","Hello @965TDY 
hoping to hear #Run_BTS
 @BTS_twt  on your station today! many thanks in advanc 💜🌹",0.35,0.35,positive,0.0,0.7,0.3,0.7177
Why would I sleep when I can play games like hello,Why would I sleep when I can play games like hello,0.0,0.0,positive,0.0,0.588,0.412,0.5994
@BTSTaehyungTHV Hello pure soul,@BTSTaehyungTHV Hello pure soul,0.21428571428571427,0.5,neutral,0.0,1.0,0.0,0.0
"Hello 👋 how are you?
Are you looking for a good relaxing massage?
MassageVip?
morrocan bath?… https://t.co/YUnMUjUKN6","Hello 👋 how are you?
Are you looking for a good relaxing massage?
MassageVip?
morrocan bath?… https://t.co/YUnMUjUKN6",0.7,0.6000000000000001,positive,0.0,0.648,0.352,0.7941
@BTSTaehyungTHV 👋👋 hello,@BTSTaehyungTHV 👋👋 hello,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"hi hello may thomasian ba diyan na nagdodorm near sa campus? may suggestions ba kayo na maganda pero cheap? &gt;&lt;

help rt nalang po 🫶","hi hello may thomasian ba diyan na nagdodorm near sa campus? may suggestions ba kayo na maganda pero cheap? &gt;&lt;

help rt nalang po 🫶",0.25,0.55,negative,0.138,0.768,0.094,-0.3094
"@Sabu80495204 Hello Sabu, please send us a DM on Twitter and we would gladly help.
https://t.co/dgZLWDtewk","@Sabu80495204 Hello Sabu, please send us a DM on Twitter and we would gladly help.
https://t.co/dgZLWDtewk",0.5,1.0,positive,0.0,0.619,0.381,0.7506
We're back at @roundhaypark this morning ahead of the @worldtriathlon and we have a very special guest with us...… https://t.co/L4lWynieZG,We're back at @roundhaypark this morning ahead of the @worldtriathlon and we have a very special guest with us...… https://t.co/L4lWynieZG,0.23214285714285715,0.37142857142857144,positive,0.0,0.857,0.143,0.4576
@kawokcals EH MT GOSTOSINHO o do badtz tem gosto de tutti frutti e o da hello kitty lembra chiclete !,@kawokcals EH MT GOSTOSINHO o do badtz tem gosto de tutti frutti e o da hello kitty lembra chiclete !,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@IQContained Hello iqcumstained,@IQContained Hello iqcumstained,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"Hello @B96Chicago hoping to hear #YetToCome @BTS_twt  on your station today
Thank you very much for spreading the ""yet to come"" ⁦╰(＾3＾)╯⁩","Hello @B96Chicago hoping to hear #YetToCome @BTS_twt  on your station today
Thank you very much for spreading the ""yet to come"" ⁦╰(＾3＾)╯⁩",0.26,0.26,positive,0.0,0.791,0.209,0.6486
@ReallyFamousJoe Hello 🤗🤗,@ReallyFamousJoe Hello 🤗🤗,0.0,0.0,neutral,0.0,1.0,0.0,0.0
