0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
@Phalane67253308 @MmusiMaimane @CyrilRamaphosa Remember another fellow said the same about Zuma? Anyway Jesus is coming soon🤣🤣🤣,@Phalane67253308 @MmusiMaimane @CyrilRamaphosa Remember another fellow said the same about Zuma? Anyway Jesus is coming soon🤣🤣🤣,0.0,0.125,neutral,0.0,1.0,0.0,0.0
"EPL Top Goal Scorers 2022/23 Season:

Moh 👑 Salah- 32 Goals
Dig⚽al Jota- 23 Goals
Cristiano Penaldo- 23 Goals
Darwi… https://t.co/f1eNOZU8xL","EPL Top Goal Scorers 2022/23 Season:

Moh 👑 Salah- 32 Goals
Dig⚽al Jota- 23 Goals
Cristiano Penaldo- 23 Goals
Darwi… https://t.co/f1eNOZU8xL",0.5,0.5,positive,0.0,0.913,0.087,0.2023
@GAYBR1GHT jesus christ /neg,@GAYBR1GHT jesus christ /neg,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@Sainthemoon Oh, Jesus! Kkkkk coitado de Simbinha 🥺🥺","@Sainthemoon Oh, Jesus! Kkkkk coitado de Simbinha 🥺🥺",0.0,0.0,neutral,0.0,1.0,0.0,0.0
@willingtool21 @IbharahE @renoomokri Ice cream and popcorn cohorts rest in Jesus name 🤣🤣🤣🤣,@willingtool21 @IbharahE @renoomokri Ice cream and popcorn cohorts rest in Jesus name 🤣🤣🤣🤣,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"God's Peaceful Messiah Jesus Will PROVE Consistency of All God's PEACEFUL Messages, CONFIRMING God's Ownership of E… https://t.co/Adz5yR2TDS","God's Peaceful Messiah Jesus Will PROVE Consistency of All God's PEACEFUL Messages, CONFIRMING God's Ownership of E… https://t.co/Adz5yR2TDS",0.25,0.5,positive,0.0,0.692,0.308,0.7983
@Jetson77 @PruBaker_10 @antiLibmob @Missy8008135 @MinnesotaExpat @hrt6017 @lanny33571893 @ballardsigns… https://t.co/o5mr4BQGgn,@Jetson77 @PruBaker_10 @antiLibmob @Missy8008135 @MinnesotaExpat @hrt6017 @lanny33571893 @ballardsigns… https://t.co/o5mr4BQGgn,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"The purpose of miracles:

And truly Jesus did many other signs in the presence of His disciples, which are not writ… https://t.co/7O7E9m97JQ","The purpose of miracles:

And truly Jesus did many other signs in the presence of His disciples, which are not writ… https://t.co/7O7E9m97JQ",0.1875,0.4375,positive,0.0,0.879,0.121,0.4404
@lordcharles01 Happy birthday Counsel. God bless you abundantly in Jesus name,@lordcharles01 Happy birthday Counsel. God bless you abundantly in Jesus name,0.7,0.975,positive,0.0,0.482,0.518,0.8225
"Ephesians 2:21~22
In him (Jesus Christ) the whole building is joined together and rises to become a holy temple in… https://t.co/YRFgPu2Xfn","Ephesians 2:21~22
In him (Jesus Christ) the whole building is joined together and rises to become a holy temple in… https://t.co/YRFgPu2Xfn",0.2,0.4,neutral,0.0,1.0,0.0,0.0
