0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
"Modi government promoting medical education.

Compared to previous government, the number of medical colleges incre… https://t.co/KgZFEhH7kx","Modi government promoting medical education.

Compared to previous government, the number of medical colleges incre… https://t.co/KgZFEhH7kx",-0.05555555555555555,0.05555555555555555,positive,0.0,0.787,0.213,0.4215
from a meeting of filim world personalities called by PM Modi   Note that everyone present there except two sitting… https://t.co/CUT1uGpfRZ,from a meeting of filim world personalities called by PM Modi   Note that everyone present there except two sitting… https://t.co/CUT1uGpfRZ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@lankalover Opposition parties should demand for an immediate SIT &amp; stepping down of Modi till he comes out clear..,@lankalover Opposition parties should demand for an immediate SIT &amp; stepping down of Modi till he comes out clear..,-0.027777777777777783,0.33611111111111114,positive,0.071,0.802,0.127,0.296
Market me ek naya gyaani aaya hai... ab ye youtube par subscriber k liye din bhar modi ko gaali dega.... modi ko ma… https://t.co/6XmWiVYpXa,Market me ek naya gyaani aaya hai... ab ye youtube par subscriber k liye din bhar modi ko gaali dega.... modi ko ma… https://t.co/6XmWiVYpXa,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@mahiyarsharma @IYC @sanjaynirupam @BhaiJagtap1 @RahulGandhi @rahulraoinc @IYC_Mumbai @priyankagandhi @digvijaya_28… https://t.co/5TWhEQaSoz,@mahiyarsharma @IYC @sanjaynirupam @BhaiJagtap1 @RahulGandhi @rahulraoinc @IYC_Mumbai @priyankagandhi @digvijaya_28… https://t.co/5TWhEQaSoz,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"पीएम मोदी 10 जून को गुजरात में 3,050 करोड़ रुपये की विकास परियोजनाओं का उद्घाटन करेंगे
https://t.co/ww7w9QWAry

via… https://t.co/mzKuMY5VnR","पीएम मोदी 10 जून को गुजरात में 3,050 करोड़ रुपये की विकास परियोजनाओं का उद्घाटन करेंगे
https://t.co/ww7w9QWAry

via… https://t.co/mzKuMY5VnR",0.0,0.0,neutral,0.0,1.0,0.0,0.0
@RubikaLiyaquat Narendra Modi ki randi,@RubikaLiyaquat Narendra Modi ki randi,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"Listen to the video before you pass any un warranted comment on #modi ji
@23pradeepsingh 👌 
https://t.co/NXvcDTe7hL","Listen to the video before you pass any un warranted comment on #modi ji
@23pradeepsingh 👌 
https://t.co/NXvcDTe7hL",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"Have a look: Modi Regime demolishing the idea of India, bulldozing the spirit of unity in diversity,
Demolition dri… https://t.co/e1RwJKHhk3","Have a look: Modi Regime demolishing the idea of India, bulldozing the spirit of unity in diversity,
Demolition dri… https://t.co/e1RwJKHhk3",0.0,0.0,positive,0.0,0.914,0.086,0.1779
"सुधार के उपायों ने भारत के 'ईज ऑफ डूइंग बिजनेस' को आगे बढ़ाया है : पीएम मोदी
https://t.co/iWG2ASb4oy

via NaMo App https://t.co/WsFevz7QrR","सुधार के उपायों ने भारत के 'ईज ऑफ डूइंग बिजनेस' को आगे बढ़ाया है : पीएम मोदी
https://t.co/iWG2ASb4oy

via NaMo App https://t.co/WsFevz7QrR",0.0,0.0,neutral,0.0,1.0,0.0,0.0
@majorgauravarya @UnSubtleDesi @NupurSharmaBJP @NIA_India If the modi shah combine let them,@majorgauravarya @UnSubtleDesi @NupurSharmaBJP @NIA_India If the modi shah combine let them,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@KrishnaSinghGa5 If you are Modi 
I am #NupurSharma https://t.co/DjLxSjX2ep","@KrishnaSinghGa5 If you are Modi 
I am #NupurSharma https://t.co/DjLxSjX2ep",0.0,0.0,neutral,0.0,1.0,0.0,0.0
@PiyushTiwariNew Tere modi jee kangna ko Y security  de sakte hai to nupur ko bhi wahi dange... modi jee ko tag kar… https://t.co/2f7HNKUMp7,@PiyushTiwariNew Tere modi jee kangna ko Y security  de sakte hai to nupur ko bhi wahi dange... modi jee ko tag kar… https://t.co/2f7HNKUMp7,0.0,0.0,positive,0.0,0.897,0.103,0.34
@BeJustMe Russi in buona fede/ignoranti che Putin (in vari modi) ha manipolato indirettamente attraverso la censura… https://t.co/KZjvOZH9Cg,@BeJustMe Russi in buona fede/ignoranti che Putin (in vari modi) ha manipolato indirettamente attraverso la censura… https://t.co/KZjvOZH9Cg,0.0,0.0,positive,0.0,0.87,0.13,0.34
