0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
"Nowww i wouldnt say “miles ahead”, but i do think they are using 4th wall breaking and references from other DC &amp; W… https://t.co/1IpUdqJujw","Nowww i wouldnt say “miles ahead”, but i do think they are using 4th wall breaking and references from other DC &amp; W… https://t.co/1IpUdqJujw",-0.125,0.375,neutral,0.0,1.0,0.0,0.0
@_Od26 breaking bad habits is always difficult even outside video games. you will notice performance dropping since… https://t.co/xxFziU9CMP,@_Od26 breaking bad habits is always difficult even outside video games. you will notice performance dropping since… https://t.co/xxFziU9CMP,-0.3999999999999999,0.5722222222222222,negative,0.273,0.727,0.0,-0.7184
"@Cstories_catch Shebi we know,it’s too early for this bad news🤦🏾‍♀️. Breaking fast with bad news🤌🏾","@Cstories_catch Shebi we know,it’s too early for this bad news🤦🏾‍♀️. Breaking fast with bad news🤌🏾",-0.2749999999999999,0.5583333333333332,negative,0.388,0.612,0.0,-0.85
@juliajuhub1 yo breaking bad me la he dejado a medias en la 2a temporada pero está guay,@juliajuhub1 yo breaking bad me la he dejado a medias en la 2a temporada pero está guay,-0.6999999999999998,0.6666666666666666,negative,0.189,0.811,0.0,-0.5423
Bazen gaza gelip Breaking Bad’i tekrar izleyeyim diyorum. Sonra da kim çekecek şimdi Skyler’ın çenesini diye vazgeçiyorum.,Bazen gaza gelip Breaking Bad’i tekrar izleyeyim diyorum. Sonra da kim çekecek şimdi Skyler’ın çenesini diye vazgeçiyorum.,-0.6999999999999998,0.6666666666666666,neutral,0.0,1.0,0.0,0.0
"10 of the Best Drug Crime TV Series You Should See.
Thread!

1. Breaking bad (2008-2013) https://t.co/EUnjiR4nT7","10 of the Best Drug Crime TV Series You Should See.
Thread!

1. Breaking bad (2008-2013) https://t.co/EUnjiR4nT7",0.15000000000000008,0.4833333333333333,negative,0.286,0.549,0.165,-0.4753
"Top 3 ซีรี่ส์โปรดตลอดกาล

1. Breaking Bad
2. American Vandal
3. Mr. Robot","Top 3 ซีรี่ส์โปรดตลอดกาล

1. Breaking Bad
2. American Vandal
3. Mr. Robot",-0.06666666666666661,0.38888888888888884,negative,0.245,0.629,0.126,-0.4019
@Maia1635 Breaking bad is amazing i watched the series twice,@Maia1635 Breaking bad is amazing i watched the series twice,-0.04999999999999988,0.7833333333333333,positive,0.245,0.49,0.266,0.0772
"Walter Evertsen, lederen av Nordlandsmafiaen ligner jo helt på Walter White i Breaking Bad. 😅","Walter Evertsen, lederen av Nordlandsmafiaen ligner jo helt på Walter White i Breaking Bad. 😅",-0.3499999999999999,0.3333333333333333,negative,0.226,0.774,0.0,-0.5423
"@zweidrei_23 @verified i know man it’s getting so bad. 

so many heart breaking stories.","@zweidrei_23 @verified i know man it’s getting so bad. 

so many heart breaking stories.",-0.09999999999999992,0.5833333333333333,negative,0.272,0.728,0.0,-0.6696
"@_crap_bag @TheFilmsPlay Ni la menor idea de ese anime o serie, pero es crimen contra la humanidad si quiera (inten… https://t.co/uZO6pWrKph","@_crap_bag @TheFilmsPlay Ni la menor idea de ese anime o serie, pero es crimen contra la humanidad si quiera (inten… https://t.co/uZO6pWrKph",0.0,0.0,neutral,0.0,1.0,0.0,0.0
@gusmeows Breaking Bad one of the best series I've ever seen. The plots are fantastic and you always want to see th… https://t.co/Zg4VDzLKIv,@gusmeows Breaking Bad one of the best series I've ever seen. The plots are fantastic and you always want to see th… https://t.co/Zg4VDzLKIv,0.2333333333333334,0.6222222222222222,positive,0.111,0.601,0.288,0.6808
"@BurroMarie @vadfred breaking bad например снимался в альбукерке, ггг","@BurroMarie @vadfred breaking bad например снимался в альбукерке, ггг",-0.6999999999999998,0.6666666666666666,negative,0.333,0.667,0.0,-0.5423
"Breaking Bad has really made me forget about anime, I can’t stop watching","Breaking Bad has really made me forget about anime, I can’t stop watching",-0.24999999999999992,0.43333333333333335,negative,0.466,0.534,0.0,-0.7823
@tayswizlpriv breaking bad and the office.. u got good taste,@tayswizlpriv breaking bad and the office.. u got good taste,5.551115123125783e-17,0.6333333333333333,negative,0.261,0.522,0.216,-0.1531
Breaking Bad - Season 03 Episode 10 - Frame 1732 of 2834 https://t.co/j3xROoBXch,Breaking Bad - Season 03 Episode 10 - Frame 1732 of 2834 https://t.co/j3xROoBXch,-0.6999999999999998,0.6666666666666666,negative,0.259,0.741,0.0,-0.5423
Breaking Bad - Season 03 Episode 10 - Frame 1731 of 2834 https://t.co/u1Um5jDg4A,Breaking Bad - Season 03 Episode 10 - Frame 1731 of 2834 https://t.co/u1Um5jDg4A,-0.6999999999999998,0.6666666666666666,negative,0.259,0.741,0.0,-0.5423
Breaking Bad - Season 03 Episode 10 - Frame 1730 of 2834 https://t.co/JQAb5vn53W,Breaking Bad - Season 03 Episode 10 - Frame 1730 of 2834 https://t.co/JQAb5vn53W,-0.6999999999999998,0.6666666666666666,negative,0.259,0.741,0.0,-0.5423
Breaking Bad - Season 03 Episode 10 - Frame 1729 of 2834 https://t.co/Bu78CHfLak,Breaking Bad - Season 03 Episode 10 - Frame 1729 of 2834 https://t.co/Bu78CHfLak,-0.6999999999999998,0.6666666666666666,negative,0.259,0.741,0.0,-0.5423
Breaking Bad - Season 03 Episode 10 - Frame 1728 of 2834 https://t.co/WWKJnH6tlc,Breaking Bad - Season 03 Episode 10 - Frame 1728 of 2834 https://t.co/WWKJnH6tlc,-0.6999999999999998,0.6666666666666666,negative,0.259,0.741,0.0,-0.5423
y lo unico q tengo para decir es q peaky blinders es la mejor serie de los ultimos tiempos.Breaking bad esta buenis… https://t.co/r4IVwqx3gZ,y lo unico q tengo para decir es q peaky blinders es la mejor serie de los ultimos tiempos.Breaking bad esta buenis… https://t.co/r4IVwqx3gZ,-0.29999999999999993,0.5333333333333333,negative,0.156,0.844,0.0,-0.5423
@jimmyfcker i dont have anyone to watch breaking bad to begin with,@jimmyfcker i dont have anyone to watch breaking bad to begin with,-0.6999999999999998,0.6666666666666666,negative,0.259,0.741,0.0,-0.5423
