0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
"Sulthan Piano Notes KGF Chapter 2 Available On Piano Daddy. 

#KGFChapter2 #Learn #Music #Notes #Notations #Sheet… https://t.co/f2TXhpOCyA","Sulthan Piano Notes KGF Chapter 2 Available On Piano Daddy. 

#KGFChapter2 #Learn #Music #Notes #Notations #Sheet… https://t.co/f2TXhpOCyA",0.4,0.4,neutral,0.0,1.0,0.0,0.0
@kamaalrkhan @akshaykumar No! You also said that #RRR and KGF Chapter 2 will be disaster ...but see what happened .… https://t.co/90fdHKtD95,@kamaalrkhan @akshaykumar No! You also said that #RRR and KGF Chapter 2 will be disaster ...but see what happened .… https://t.co/90fdHKtD95,0.0,0.0,negative,0.268,0.732,0.0,-0.7644
@Sp23096340Cyber @KfiTalks Non kgf record yest ede bro??,@Sp23096340Cyber @KfiTalks Non kgf record yest ede bro??,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@CMArjunPrasad96 Kgf ki neel&gt;&gt; SSR annaru 
Vikram ki loki &gt; neel annaru 
HHVM ki krish &gt;&gt;&gt;&gt;.        antar emo https://t.co/L4H1zuoAVq","@CMArjunPrasad96 Kgf ki neel&gt;&gt; SSR annaru 
Vikram ki loki &gt; neel annaru 
HHVM ki krish &gt;&gt;&gt;&gt;.        antar emo https://t.co/L4H1zuoAVq",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@theabishekkumar 
For kind information ..
#KGFChapter2 is the top grosser of 2022 in indian cinema 
Beast as become… https://t.co/pkXQWXFAqW","@theabishekkumar 
For kind information ..
#KGFChapter2 is the top grosser of 2022 in indian cinema 
Beast as become… https://t.co/pkXQWXFAqW",0.55,0.7,positive,0.058,0.711,0.231,0.5994
"Vikram &gt;&gt;&gt;&gt; kgf chapter 2  
Agree or die","Vikram &gt;&gt;&gt;&gt; kgf chapter 2  
Agree or die",0.0,0.0,negative,0.342,0.439,0.219,-0.34
@rsy_cultfan @Dboss_Warrior @MonsterRocky21 Lucky and modalasala kooda hit madbitreno bucket soolemakla 2019 batch… https://t.co/aXixSAduuD,@rsy_cultfan @Dboss_Warrior @MonsterRocky21 Lucky and modalasala kooda hit madbitreno bucket soolemakla 2019 batch… https://t.co/aXixSAduuD,0.3333333333333333,0.8333333333333334,positive,0.0,0.823,0.177,0.4215
"Mother
'Ma' is the solution of every Pain, Depression, Problem. 
#MothersDay #mother #KGF2 #KGFChapter2… https://t.co/iCvCERHcdb","Mother
'Ma' is the solution of every Pain, Depression, Problem. 
#MothersDay #mother #KGF2 #KGFChapter2… https://t.co/iCvCERHcdb",0.0,0.0,negative,0.422,0.478,0.1,-0.8126
@box_oficeIndian Will Lal Singh Chaddha cross RRR and KGF Chapter 2 India Collections?,@box_oficeIndian Will Lal Singh Chaddha cross RRR and KGF Chapter 2 India Collections?,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@skm350 @DfguJhgi lol !d!ot nice joke kgf 2 didnt even beat bahubali 1 footfalls https://t.co/jf7HITTdYo,@skm350 @DfguJhgi lol !d!ot nice joke kgf 2 didnt even beat bahubali 1 footfalls https://t.co/jf7HITTdYo,0.8,0.85,positive,0.0,0.544,0.456,0.8118
"@MonsterRocky21 @pari_darshan yav hero post ho lowde angadre article fake🙏
yappa nimdu ond fandom ond swatha fanbas… https://t.co/IEeOH95cKy","@MonsterRocky21 @pari_darshan yav hero post ho lowde angadre article fake🙏
yappa nimdu ond fandom ond swatha fanbas… https://t.co/IEeOH95cKy",0.0,0.0,positive,0.0,0.825,0.175,0.5574
"@KfiTalks @Kiranraj61 Bro I liked the movie more kgf.
Even I cried in theatre while watching dog competition scene.","@KfiTalks @Kiranraj61 Bro I liked the movie more kgf.
Even I cried in theatre while watching dog competition scene.",0.55,0.65,negative,0.139,0.726,0.136,-0.0164
@mr_kaushu_10 Me and my whole family watch kgf literally every day and still enjoy it and it still gives that josh 😍,@mr_kaushu_10 Me and my whole family watch kgf literally every day and still enjoy it and it still gives that josh 😍,0.30000000000000004,0.45,positive,0.0,0.862,0.138,0.4939
@pradeepKarunadu @ArpitBnsl @rakshitshetty Rakshit Shetty cannot become a pan India star because the subjects which… https://t.co/d7o3jWbVxD,@pradeepKarunadu @ArpitBnsl @rakshitshetty Rakshit Shetty cannot become a pan India star because the subjects which… https://t.co/d7o3jWbVxD,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"#HombaleFilms :#KGF నిర్మించిన హోంబల్ ఫిలిమ్స్ ఫ్యూచర్ ప్లాన్స్ మాములుగా లేవుగా..
#10TV #10TVEntertainment

https://t.co/BFYCyyFV00","#HombaleFilms :#KGF నిర్మించిన హోంబల్ ఫిలిమ్స్ ఫ్యూచర్ ప్లాన్స్ మాములుగా లేవుగా..
#10TV #10TVEntertainment

https://t.co/BFYCyyFV00",0.0,0.0,neutral,0.0,1.0,0.0,0.0
@MonsterRocky21 @pari_darshan yako ajeeb agthidya bucket lottery star na defend madkondu bandu overnight star avne… https://t.co/9mAZAgzNKu,@MonsterRocky21 @pari_darshan yako ajeeb agthidya bucket lottery star na defend madkondu bandu overnight star avne… https://t.co/9mAZAgzNKu,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@abhi_again Kgf 2 clear,@abhi_again Kgf 2 clear,0.10000000000000002,0.3833333333333333,positive,0.0,0.435,0.565,0.3818
Dhinemma dheeni kgf 2 kanna great annaru 🤡🤡🙏,Dhinemma dheeni kgf 2 kanna great annaru 🤡🤡🙏,0.8,0.75,positive,0.0,0.594,0.406,0.6249
@TheApiens Interesting project with big goals ahead!. The Blockchain project looks promising and there is a profess… https://t.co/5oorrmPAKz,@TheApiens Interesting project with big goals ahead!. The Blockchain project looks promising and there is a profess… https://t.co/5oorrmPAKz,0.2333333333333333,0.3666666666666667,positive,0.0,0.725,0.275,0.69
@SaiKriss1 @Its_CineHub Before kgf we also didn't knew the person in ur dp...one movie wonder,@SaiKriss1 @Its_CineHub Before kgf we also didn't knew the person in ur dp...one movie wonder,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@Dontbegoodmann First half rrr. Second half kgf 2.,@Dontbegoodmann First half rrr. Second half kgf 2.,-0.02083333333333333,0.16666666666666666,neutral,0.0,1.0,0.0,0.0
@MAAYON_7_HARSHA KGF 2 and vikram,@MAAYON_7_HARSHA KGF 2 and vikram,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@PageBox0ffice @DfguJhgi lol idiot he is hater of kgf also...and kgf2 passed bahubali1 footfalls,@PageBox0ffice @DfguJhgi lol idiot he is hater of kgf also...and kgf2 passed bahubali1 footfalls,0.0,0.75,negative,0.307,0.553,0.141,-0.5106
@box_oficeIndian Plzzzz kgf chapter 2 can't realeas in china why?,@box_oficeIndian Plzzzz kgf chapter 2 can't realeas in china why?,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@box_oficeIndian Kgf 3 how many numbers on Box office,@box_oficeIndian Kgf 3 how many numbers on Box office,0.5,0.5,neutral,0.0,1.0,0.0,0.0
@Shivanizxz @ShivarajHokkun2 @SacnilkEntmt I don't know how after kgf every kannada film even local film looks like… https://t.co/4vZs1RBSJs,@Shivanizxz @ShivarajHokkun2 @SacnilkEntmt I don't know how after kgf every kannada film even local film looks like… https://t.co/4vZs1RBSJs,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@Krishna77999 Enkaa ipudu parledhu bro RRR,KGF-2 and Radhey syam apudu enkaa ekuvaa vunnayi prices.","@Krishna77999 Enkaa ipudu parledhu bro RRR,KGF-2 and Radhey syam apudu enkaa ekuvaa vunnayi prices.",0.0,0.0,neutral,0.0,1.0,0.0,0.0
@Middlclssmowgli So much better than tatti KGF.,@Middlclssmowgli So much better than tatti KGF.,0.5,0.5,positive,0.0,0.654,0.346,0.4902
@PranavsaiNTRMSD akhanda RRR KGF 2,@PranavsaiNTRMSD akhanda RRR KGF 2,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@Exsecularkumar Kgf  me garuda se bache k liye apne baap maar diya uske bhai ne vaise  kya raga apni maaa ko bhi mr… https://t.co/ALNsAvyfbS,@Exsecularkumar Kgf  me garuda se bache k liye apne baap maar diya uske bhai ne vaise  kya raga apni maaa ko bhi mr… https://t.co/ALNsAvyfbS,0.0,0.0,neutral,0.0,1.0,0.0,0.0
kgf Star Vs heropanti 2 tiger shroff #kgfchapter2teaser https://t.co/vD8w1P3OdA via @YouTube,kgf Star Vs heropanti 2 tiger shroff #kgfchapter2teaser https://t.co/vD8w1P3OdA via @YouTube,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@rsy_cultfan @Dboss_Warrior @MonsterRocky21 Darshan sangolli rayanna collection break madavre nim bucket jeevnadall… https://t.co/BcaV61cpmF,@rsy_cultfan @Dboss_Warrior @MonsterRocky21 Darshan sangolli rayanna collection break madavre nim bucket jeevnadall… https://t.co/BcaV61cpmF,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@hrithikfangirl1 Kgf 2 had early morning shows. I think Gangubai had some early morning shows,@hrithikfangirl1 Kgf 2 had early morning shows. I think Gangubai had some early morning shows,0.1,0.3,neutral,0.0,1.0,0.0,0.0
"@rameshlaus Adei valimai enga da 2022 le no.1 enda eppadi orutturinga.
2022 beast and kgf 125cr valimai 105 cr than da dei.","@rameshlaus Adei valimai enga da 2022 le no.1 enda eppadi orutturinga.
2022 beast and kgf 125cr valimai 105 cr than da dei.",0.0,0.0,neutral,0.0,1.0,0.0,0.0
@Tricia_ammy KGF,@Tricia_ammy KGF,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@Captain41230930 Kgf series may be better than pushpa anthe..kaani..baahubali, rrr tho comparison a ledhu...period..","@Captain41230930 Kgf series may be better than pushpa anthe..kaani..baahubali, rrr tho comparison a ledhu...period..",0.5,0.5,positive,0.0,0.805,0.195,0.4404
#Video | Here's the inside story of how films from the South of #India are dubbed into Hindi. Watch our latest docu… https://t.co/40Fjc7wG7I,#Video | Here's the inside story of how films from the South of #India are dubbed into Hindi. Watch our latest docu… https://t.co/40Fjc7wG7I,0.5,0.9,neutral,0.0,1.0,0.0,0.0
"But I want you to watch KGF part 1 and 2, you won't regret it.

It's about gold mining.

One if the best Indian mov… https://t.co/Xz9l8p1nLW","But I want you to watch KGF part 1 and 2, you won't regret it.

It's about gold mining.

One if the best Indian mov… https://t.co/Xz9l8p1nLW",1.0,0.3,positive,0.0,0.672,0.328,0.882
@shahh @metabrewsociety @KozyKoalasNFT @CosmicCyborgs @monftersclub,@shahh @metabrewsociety @KozyKoalasNFT @CosmicCyborgs @monftersclub,0.0,0.0,neutral,0.0,1.0,0.0,0.0
