0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
"They also usually look nice, and non-intrusive since they're just white subs with a bunch of obscure manga, AoT, an… https://t.co/HO3cTzPKnz","They also usually look nice, and non-intrusive since they're just white subs with a bunch of obscure manga, AoT, an… https://t.co/HO3cTzPKnz",0.11666666666666665,0.4166666666666667,positive,0.0,0.872,0.128,0.4215
"Ya terminé Vinland Saga. Y en estos momentos la considero la historia más cautivadora, con el sistema más complejo,… https://t.co/JbvWKlPC80","Ya terminé Vinland Saga. Y en estos momentos la considero la historia más cautivadora, con el sistema más complejo,… https://t.co/JbvWKlPC80",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@moviemenfes breaking bad
https://t.co/3nAy9uFzY0","@moviemenfes breaking bad
https://t.co/3nAy9uFzY0",-0.6999999999999998,0.6666666666666666,negative,0.538,0.462,0.0,-0.5423
@adeoluu__ Breaking bad is GOATED!!,@adeoluu__ Breaking bad is GOATED!!,-1.0,0.6666666666666666,negative,0.505,0.495,0.0,-0.6229
"empecé con breaking bad y me terminé mirando la serie que deriva de esa, la cual tiene CINCO temporadas. hice la cu… https://t.co/Xxs63D2uyH","empecé con breaking bad y me terminé mirando la serie que deriva de esa, la cual tiene CINCO temporadas. hice la cu… https://t.co/Xxs63D2uyH",-0.6999999999999998,0.6666666666666666,negative,0.143,0.857,0.0,-0.5423
"@Qldrenegade @TheBoon777 I just hit enter and your unrevised mssg disappeared.  🙃

I got mine recently too.  6.4kW'… https://t.co/Xn5EWezF4c","@Qldrenegade @TheBoon777 I just hit enter and your unrevised mssg disappeared.  🙃

I got mine recently too.  6.4kW'… https://t.co/Xn5EWezF4c",0.0,0.25,negative,0.112,0.888,0.0,-0.2263
"Nowww i wouldnt say “miles ahead”, but i do think they are using 4th wall breaking and references from other DC &amp; W… https://t.co/1IpUdqJujw","Nowww i wouldnt say “miles ahead”, but i do think they are using 4th wall breaking and references from other DC &amp; W… https://t.co/1IpUdqJujw",-0.125,0.375,neutral,0.0,1.0,0.0,0.0
@_Od26 breaking bad habits is always difficult even outside video games. you will notice performance dropping since… https://t.co/xxFziU9CMP,@_Od26 breaking bad habits is always difficult even outside video games. you will notice performance dropping since… https://t.co/xxFziU9CMP,-0.3999999999999999,0.5722222222222222,negative,0.273,0.727,0.0,-0.7184
"@Cstories_catch Shebi we know,it’s too early for this bad news🤦🏾‍♀️. Breaking fast with bad news🤌🏾","@Cstories_catch Shebi we know,it’s too early for this bad news🤦🏾‍♀️. Breaking fast with bad news🤌🏾",-0.2749999999999999,0.5583333333333332,negative,0.388,0.612,0.0,-0.85
@juliajuhub1 yo breaking bad me la he dejado a medias en la 2a temporada pero está guay,@juliajuhub1 yo breaking bad me la he dejado a medias en la 2a temporada pero está guay,-0.6999999999999998,0.6666666666666666,negative,0.189,0.811,0.0,-0.5423
Bazen gaza gelip Breaking Bad’i tekrar izleyeyim diyorum. Sonra da kim çekecek şimdi Skyler’ın çenesini diye vazgeçiyorum.,Bazen gaza gelip Breaking Bad’i tekrar izleyeyim diyorum. Sonra da kim çekecek şimdi Skyler’ın çenesini diye vazgeçiyorum.,-0.6999999999999998,0.6666666666666666,neutral,0.0,1.0,0.0,0.0
"10 of the Best Drug Crime TV Series You Should See.
Thread!

1. Breaking bad (2008-2013) https://t.co/EUnjiR4nT7","10 of the Best Drug Crime TV Series You Should See.
Thread!

1. Breaking bad (2008-2013) https://t.co/EUnjiR4nT7",0.15000000000000008,0.4833333333333333,negative,0.286,0.549,0.165,-0.4753
